Designator,Mid X,Mid Y,Layer,Rotation
A,36.47,19.05,Top,90
B,38.35,19.05,Top,90
B2,55.63,10.31,Top,90
B4,61.44,1.78,Top,90
C,40.64,19.05,Top,90
C1,40.89,3.94,Top,270
C2,48.9,12.19,Top,0
C3,33.66,11.81,Top,180
C6,29.21,16.89,Top,270
C7,29.21,17.91,Top,270
C8,29.21,18.92,Top,270
C10,63.71,14.26,Top,0
C13,56.64,13.55,Top,0
C15,49.96,1.07,Top,270
C16,48.01,1.07,Top,90
C17,90.23,14.61,Top,270
C18,54,4.47,Top,270
C19,53.72,10.31,Top,270
C20,90.23,6.22,Top,90
C22,61.44,6.86,Top,270
C23,58.9,4.32,Top,180
D,42.55,19.05,Top,270
D1,32.16,10.34,Top,270
D2,18.77,3.35,Top,270
E,58.39,18.6,Top,0
F,58.39,16.69,Top,0
H,61.39,18.59,Top,0
J,63.64,18.59,Top,180
K,58.21,14.21,Top,0
L1,44.45,19.05,Top,180
L2,29.21,9.53,Top,0
L3,29.21,10.57,Top,0
L4,22.61,8.1,Top,0
L5,18.41,8.1,Top,0
L6,61.95,10.47,Top,180
M,34.29,17.91,Top,270
N,34.29,19.05,Top,90
R1,50.14,18.57,Top,0
R2,32.31,17.42,Top,180
R3,31.27,17.42,Top,0
R4,33.66,14.61,Top,180
R5,18.41,6.99,Top,270
R11,24.64,8.1,Top,90
R12,20.45,8.1,Top,90
R17,13.91,17.25,Top,180
R23,89.5,11.3,Top,180
U1,41.27,11.43,Top,90
U2,60.86,15,Top,0
U3,29.9,13.97,Top,0
Y3,49.02,3.43,Top,0
